id,front,right,back,left,x,y,yaw
2164,240,198,208,235,-0.04508190229535103,-0.04018550366163254,44.73052215576172
2165,240,195,208,235,-0.04558296501636505,-0.04065776243805885,45.02513885498047
2166,240,195,208,235,-0.04538433998823166,-0.0409085638821125,45.44344711303711
2167,249,195,208,235,-0.04453619197010994,-0.041809212416410446,45.68701934814453
2168,249,195,201,233,-0.04502939432859421,-0.041703660041093826,46.09302520751953
2169,249,192,201,233,-0.0442727766931057,-0.040684401988983154,46.426483154296875
2170,249,192,201,233,-0.042974866926670074,-0.03997272253036499,46.73776626586914
2171,249,192,201,233,-0.044642217457294464,-0.038595400750637054,46.9422492980957
2172,249,192,194,224,-0.04397450014948845,-0.03787270560860634,47.113319396972656
2173,249,194,194,224,-0.043893273919820786,-0.037520647048950195,47.17099380493164
2174,249,194,194,224,-0.04421824589371681,-0.037076856940984726,47.28352355957031
2175,254,194,194,224,-0.044185489416122437,-0.036624468863010406,47.39965057373047
2176,254,194,193,223,-0.04528078809380531,-0.037105757743120193,47.605133056640625
2177,254,199,193,223,-0.04208153486251831,-0.03591812029480934,47.69169616699219
2178,254,199,193,223,-0.04240834712982178,-0.0355500727891922,47.761619567871094
2179,250,199,193,223,-0.042000286281108856,-0.03492673859000206,47.8582878112793
2180,250,199,190,222,-0.041347354650497437,-0.033999525010585785,48.06578063964844
2181,250,191,190,222,-0.04053051024675369,-0.03406894579529762,48.24939727783203
2182,250,191,190,222,-0.03945202752947807,-0.033932868391275406,48.61384582519531
2183,247,191,190,222,-0.039213020354509354,-0.033839378505945206,48.95124435424805
2184,247,191,190,222,-0.038778889924287796,-0.033751145005226135,49.42300033569336
2185,247,186,190,222,-0.03860385715961456,-0.03363724425435066,49.73542404174805
2186,247,186,190,222,-0.0359126552939415,-0.03367508202791214,50.11210632324219
2187,244,186,190,222,-0.03592703118920326,-0.03357645496726036,50.37132263183594
2188,244,186,186,217,-0.03536554425954819,-0.03383542597293854,50.9205322265625
2189,244,175,186,217,-0.035090528428554535,-0.03399151563644409,51.318077087402344
2190,244,175,186,217,-0.03469615802168846,-0.03400905057787895,51.785911560058594
2191,250,175,186,217,-0.034347835928201675,-0.03426044434309006,52.158607482910156
2192,250,175,178,213,-0.035685960203409195,-0.033232010900974274,52.67622375488281
2193,250,175,178,213,-0.035506077110767365,-0.0333639532327652,53.03297805786133
2194,250,175,178,213,-0.03595924749970436,-0.03313523158431053,53.4476318359375
2195,242,175,178,213,-0.035635609179735184,-0.03217127546668053,53.747947692871094
2196,242,175,169,205,-0.031501930207014084,-0.032548386603593826,54.22820281982422
2197,242,171,169,205,-0.03043241612613201,-0.032132338732481,54.487022399902344
2198,242,171,169,205,-0.030601773411035538,-0.03106023371219635,54.80026626586914
2199,233,171,169,205,-0.03140324354171753,-0.031084325164556503,55.00296401977539
2200,233,171,167,200,-0.03152493014931679,-0.031343843787908554,55.251075744628906
2201,233,166,167,200,-0.032672032713890076,-0.030718713998794556,55.48130798339844
2202,233,166,167,200,-0.03115437738597393,-0.0287075936794281,55.904075622558594
2203,225,166,167,200,-0.030603773891925812,-0.027010131627321243,56.24506378173828
2204,225,166,166,198,-0.030935408547520638,-0.027308056131005287,56.81620788574219
2205,225,169,166,198,-0.032043538987636566,-0.02692733146250248,57.19123077392578
2206,225,169,166,198,-0.032682862132787704,-0.026965074241161346,57.59765625
2207,224,169,166,198,-0.03339267894625664,-0.026817498728632927,57.86824035644531
2208,224,169,164,193,-0.03453440964221954,-0.026507284492254257,58.31315994262695
2209,224,164,164,193,-0.03486735746264458,-0.026621833443641663,58.64970397949219
2210,224,164,164,193,-0.035542260855436325,-0.027976101264357567,59.214744567871094
2211,222,164,164,193,-0.035807181149721146,-0.028080612421035767,59.572975158691406
2212,222,164,163,185,-0.035511620342731476,-0.0286672655493021,60.17502975463867
2213,222,157,163,185,-0.03458923473954201,-0.02874152921140194,60.58468246459961
2214,222,157,163,185,-0.034308888018131256,-0.029632296413183212,61.06436538696289
2215,218,157,163,185,-0.03301092982292175,-0.02911198139190674,61.36680221557617
2216,218,157,153,185,-0.03122863918542862,-0.027117455378174782,61.89564895629883
2217,218,32766,153,185,-0.03165178373456001,-0.027551455423235893,62.27812576293945
2218,218,32766,153,185,-0.0314566045999527,-0.027058327570557594,62.66266632080078
2219,210,32766,153,185,-0.03051271289587021,-0.026720572263002396,63.150230407714844
2220,210,32766,163,178,-0.030179521068930626,-0.02496681734919548,63.39119338989258
2221,210,161,163,178,-0.031226640567183495,-0.02401219680905342,63.653350830078125
2222,210,161,163,178,-0.029261693358421326,-0.024057574570178986,63.8454475402832
2223,210,161,163,178,-0.027136601507663727,-0.023613758385181427,64.13603210449219
2224,210,161,165,197,-0.02696794643998146,-0.02310464344918728,64.36380004882812
2225,210,169,165,197,-0.02622680552303791,-0.022352516651153564,64.65372467041016
2226,210,169,165,197,-0.0256962887942791,-0.02160618081688881,64.93492126464844
2227,205,169,165,197,-0.025571512058377266,-0.022341711446642876,65.4072036743164
2228,205,169,162,179,-0.024614131078124046,-0.020834892988204956,65.64710998535156
2229,205,162,162,179,-0.023623526096343994,-0.020835693925619125,65.96025848388672
2230,205,162,162,179,-0.024868415668606758,-0.02006857469677925,66.25961303710938
2231,202,162,162,179,-0.024010060355067253,-0.020641641691327095,66.75688934326172
2232,202,162,160,32766,-0.023741671815514565,-0.02049819380044937,67.07197570800781
2233,202,158,160,32766,-0.022866934537887573,-0.021167827770113945,67.23965454101562
2234,202,158,160,32766,-0.022833166643977165,-0.021463951095938683,67.52416229248047
2235,203,158,160,32766,-0.022955579683184624,-0.021434664726257324,68.0274887084961
2236,203,158,165,193,-0.023521123453974724,-0.021348996087908745,68.31643676757812
2237,203,163,165,193,-0.02302975207567215,-0.021577319130301476,68.52313232421875
2238,203,163,165,193,-0.02141476608812809,-0.021986007690429688,68.59385681152344
2239,201,163,165,193,-0.02104363776743412,-0.022228548303246498,68.65473175048828
2240,201,163,156,197,-0.020764140412211418,-0.02345941588282585,68.77493286132812
2241,201,157,156,197,-0.019939661026000977,-0.022866347804665565,68.80193328857422
2242,201,157,156,197,-0.01953696645796299,-0.02324802801012993,68.81583404541016
2243,205,157,156,197,-0.018922850489616394,-0.023880673572421074,68.92654418945312
2244,205,157,152,194,-0.018623609095811844,-0.02405451610684395,69.01494598388672
2245,205,155,152,194,-0.019139792770147324,-0.023822611197829247,69.24593353271484
2246,205,155,152,194,-0.01930692233145237,-0.02334829978644848,69.43824768066406
2247,202,155,152,194,-0.019743354991078377,-0.023244895040988922,69.6998062133789
2248,202,155,154,197,-0.01764724776148796,-0.023859241977334023,69.82366180419922
2249,202,155,154,197,-0.01750253699719906,-0.02410024218261242,70.26953125
2250,202,155,154,197,-0.016237773001194,-0.02439945377409458,70.55783081054688
2251,200,155,154,197,-0.015833457931876183,-0.024084119126200676,71.1031265258789
2252,200,155,152,197,-0.013864717446267605,-0.023195693269371986,71.34966278076172
2253,200,157,152,197,-0.012136746197938919,-0.023570245131850243,72.13600158691406
2254,200,157,152,197,-0.011715826578438282,-0.021900922060012817,72.69281005859375
2255,201,157,152,197,-0.010723469778895378,-0.022090502083301544,73.3377456665039
2256,201,157,152,198,-0.01004586648195982,-0.022244347259402275,73.59454345703125
2257,201,157,152,198,-0.008873630315065384,-0.022521698847413063,73.84342193603516
2258,201,157,152,198,-0.008417190052568913,-0.018657689914107323,73.93623352050781
2259,197,157,152,198,-0.006878376472741365,-0.018143102526664734,74.06031036376953
2260,197,157,154,197,-0.009500990621745586,-0.017650257796049118,74.12959289550781
2261,197,154,154,197,-0.009058044292032719,-0.017762504518032074,74.1220474243164
2262,197,154,154,197,-0.009422412142157555,-0.017728006467223167,74.1629638671875
2263,200,154,154,197,-0.009526580572128296,-0.01802133210003376,74.52515411376953
2264,200,154,158,196,-0.009031634777784348,-0.018377695232629776,74.85790252685547
